Team,Player,ROS,Playing time %,Role,IP_GS
DET,Joey Wentz,71 IP,GS 8% RP 2%,"Starter, Long",4.5
DET,Beau Brieske,46 IP,GS 4% RP 2%,"Starter, Long",5.2
DET,Alex Faedo,46 IP,GS 3% RP 4%,"Starter, Long",4.5
DET,Casey Mize,15 IP,GS 2%,Starter,4.7
DET,Garrett Hill,50 IP,GS 2% RP 6%,"Starter, Long",4
DET,Alex Lange,61 IP,RP 10% SV 80%,Closer,0
DET,Jose Cisnero,61 IP,RP 10% SV 10%,Setup,0
DET,Will Vest,61 IP,RP 10% SV 10%,Setup,0
DET,Mason Englert,37 IP,RP 6%,Mop Up,0
DET,Jason Foley,61 IP,RP 10%,Middle,0
DET,Brendan White,31 IP,RP 5%,Middle,0
DET,Edwin Uceta,24 IP,RP 4%,Middle,0
DET,Freddy Pacheco,24 IP,RP 4%,Middle,0
DET,Miguel Diaz,12 IP,RP 2%,Middle,0
DET,Tyler Holton,12 IP,RP 2%,Middle,0
DET,Angel De Jesus,12 IP,RP 2%,Middle,0
DET,Zach Logue,12 IP,RP 2%,Middle,0
DET,Tyler Alexander,61 IP,RP 10%,Long,0
DET,Rony Garcia,43 IP,RP 7%,Long,0
DET,Reese Olson,12 IP,RP 2%,Long,0
HOU,Framber Valdez,191 IP,GS 19%,Starter 1,6.2
HOU,Cristian Javier,143 IP,GS 16%,Starter 2,5.5
HOU,Lance McCullers Jr.,127 IP,GS 14%,Starter 3,5.6
HOU,Jose Urquidy,154 IP,GS 17%,Starter 4,5.6
HOU,Luis Garcia,131 IP,GS 15%,Starter 5,5.4
HOU,Hunter Brown,109 IP,GS 9% RP 6%,"Starter, Long",5.2
HOU,Forrest Whitley,30 IP,GS 4%,Starter,4.6
HOU,Brandon Bielak,40 IP,GS 2% RP 5%,"Starter, Long",4
HOU,Shawn Dubin,24 IP,GS 2% RP 2%,"Starter, Long",4
HOU,J.P. France,24 IP,GS 2% RP 2%,"Starter, Long",4
HOU,Ryan Pressly,55 IP,RP 10% SV 80%,Closer,0
HOU,Hector Neris,60 IP,RP 11% SV 15%,Setup,0
HOU,Rafael Montero,55 IP,RP 10% SV 5%,Setup,0
HOU,Ryne Stanek,55 IP,RP 10%,Setup,0
HOU,Phil Maton,60 IP,RP 11%,Middle,0
HOU,Bryan Abreu,55 IP,RP 10%,Middle,0
HOU,Seth Martinez,38 IP,RP 7%,Middle,0
HOU,Parker Mushinski,22 IP,RP 4%,Middle,0
HOU,Blake Taylor,22 IP,RP 4%,Middle,0
HOU,Enoli Paredes,22 IP,RP 4%,Middle,0
HOU,Matt Gage,11 IP,RP 2%,Middle,0
HOU,Ronel Blanco,11 IP,RP 2%,Middle,0
KC,Brady Singer,166 IP,GS 18%,Starter 1,5.7
KC,Zack Greinke,135 IP,GS 16%,Starter 2,5.2
KC,Jordan Lyles,151 IP,GS 17%,Starter 3,5.5
KC,Daniel Lynch,101 IP,GS 13%,Starter 4,4.8
KC,Ryan Yarbrough,105 IP,GS 9% RP 6%,"Starter 5, Long",4.7
KC,Kris Bubic,61 IP,GS 8%,Starter,4.7
KC,Jon Heasley,32 IP,GS 4%,Starter,4.9
KC,Brad Keller,78 IP,GS 4% RP 7%,"Starter, Middle",5.4
KC,Jackson Kowar,34 IP,GS 3% RP 2%,"Starter, Long",4.5
KC,Alec Marsh,14 IP,GS 2%,Starter,4.2
KC,Jonathan Bowlan,13 IP,GS 2%,Starter,4
KC,Max Castillo,15 IP,GS 2%,Starter,4.6
KC,Angel Zerpa,26 IP,GS 2% RP 2%,"Starter, Long",4.3
KC,Scott Barlow,61 IP,RP 10% SV 65%,Closer,0
KC,Aroldis Chapman,49 IP,RP 8% SV 20%,Setup,0
KC,Dylan Coleman,55 IP,RP 9% SV 10%,Setup,0
KC,Josh Staumont,49 IP,RP 8% SV 5%,Setup,0
KC,Taylor Clarke,55 IP,RP 9%,Middle,0
KC,Amir Garrett,55 IP,RP 9%,Middle,0
KC,Richard Lovelady,37 IP,RP 6%,Middle,0
KC,Josh Taylor,37 IP,RP 6%,Middle,0
KC,Jose Cuas,25 IP,RP 4%,Middle,0
KC,Collin Snider,25 IP,RP 4%,Middle,0
KC,Carlos Hernandez,61 IP,RP 10%,Long,0
LAA,Shohei Ohtani,162 IP,GS 17%,Starter 1,5.9
LAA,Patrick Sandoval,145 IP,GS 16%,Starter 2,5.6
