Team,Batters,ROS,Playing time %
BOS,Enmanuel Valdez,70 PA,2B 10% 70 PA
BOS,Adalberto Mondesi,245 PA,SS 35% 245 PA
BOS,Trevor Story,210 PA,SS 25% 175 PA DH 5% 35 PA
BOS,Enrique Hernandez,595 PA,CF 40% 280 PA SS 25% 175 PA 2B 20% 140 PA
BOS,Adam Duvall,420 PA,CF 30% 210 PA LF 20% 140 PA RF 10% 70 PA
BOS,Jarren Duran,315 PA,CF 20% 140 PA RF 15% 105 PA LF 10% 70 PA
BOS,Rob Refsnyder,70 PA,CF 5% 35 PA RF 5% 35 PA
BOS,Masataka Yoshida,595 PA,LF 55% 385 PA DH 30% 210 PA
BOS,Rafael Devers,595 PA,3B 80% 560 PA DH 5% 35 PA
BOS,Alex Verdugo,595 PA,RF 65% 455 PA LF 15% 105 PA CF 5% 35 PA
BOS,Triston Casas,560 PA,1B 70% 490 PA DH 10% 70 PA
BOS,Bobby Dalbec,175 PA,1B 20% 140 PA RF 5% 35 PA
BOS,Justin Turner,525 PA,DH 50% 350 PA 3B 15% 105 PA 1B 10% 70 PA
CHW,Yasmani Grandal,420 PA,C 55% 385 PA DH 5% 35 PA
CHW,Seby Zavala,210 PA,C 30% 210 PA
CHW,Carlos Pérez,105 PA,C 15% 105 PA
CHW,Elvis Andrus,525 PA,2B 65% 455 PA SS 10% 70 PA
CHW,Hanser Alberto,105 PA,2B 10% 70 PA 3B 5% 35 PA
CHW,Romy Gonzalez,105 PA,2B 5% 35 PA CF 5% 35 PA LF 5% 35 PA
CHW,Jose Rodriguez,35 PA,2B 5% 35 PA
CHW,Lenyn Sosa,70 PA,2B 5% 35 PA SS 5% 35 PA
CHW,Leury Garcia,70 PA,2B 5% 35 PA CF 5% 35 PA
CHW,Tim Anderson,595 PA,SS 85% 595 PA
CHW,Luis Robert,595 PA,CF 85% 595 PA
CHW,Andrew Benintendi,560 PA,LF 80% 560 PA
CHW,Yoan Moncada,560 PA,3B 80% 560 PA
CHW,Jake Burger,210 PA,3B 15% 105 PA DH 10% 70 PA 2B 5% 35 PA
CHW,Oscar Colas,525 PA,RF 70% 490 PA CF 5% 35 PA
CHW,Gavin Sheets,385 PA,RF 20% 140 PA 1B 20% 140 PA DH 15% 105 PA
CHW,Yoelqui Céspedes,70 PA,RF 10% 70 PA
CHW,Andrew Vaughn,595 PA,1B 80% 560 PA DH 5% 35 PA
CHW,Eloy Jimenez,560 PA,DH 65% 455 PA LF 15% 105 PA
CHC,Yan Gomes,420 PA,C 55% 385 PA DH 5% 35 PA
CHC,Tucker Barnhart,245 PA,C 35% 245 PA
CHC,Luis Torrens,105 PA,C 10% 70 PA DH 5% 35 PA
CHC,Nico Hoerner,595 PA,2B 75% 525 PA SS 10% 70 PA
CHC,Nick Madrigal,315 PA,2B 20% 140 PA 3B 15% 105 PA DH 10% 70 PA
CHC,Miles Mastrobuoni,105 PA,2B 5% 35 PA CF 5% 35 PA RF 5% 35 PA
CHC,Dansby Swanson,630 PA,SS 90% 630 PA
CHC,Cody Bellinger,560 PA,CF 75% 525 PA DH 5% 35 PA
CHC,Alexander Canario,70 PA,CF 5% 35 PA LF 5% 35 PA
CHC,Ian Happ,595 PA,LF 85% 595 PA
CHC,Nelson Velazquez,70 PA,LF 5% 35 PA DH 5% 35 PA
CHC,Patrick Wisdom,455 PA,3B 40% 280 PA DH 15% 105 PA 1B 5% 35 PA LF 5% 35 PA
CHC,Christopher Morel,315 PA,3B 25% 175 PA CF 15% 105 PA RF 5% 35 PA
CHC,Edwin Rios,210 PA,3B 20% 140 PA 1B 5% 35 PA DH 5% 35 PA
CHC,Seiya Suzuki,560 PA,RF 75% 525 PA DH 5% 35 PA
CHC,Eric Hosmer,350 PA,1B 50% 350 PA
CHC,Trey Mancini,385 PA,1B 20% 140 PA DH 20% 140 PA RF 15% 105 PA
CHC,Matt Mervis,315 PA,DH 25% 175 PA 1B 20% 140 PA
CIN,Curt Casali,280 PA,C 40% 280 PA
CIN,Tyler Stephenson,560 PA,C 40% 280 PA DH 25% 175 PA 1B 15% 105 PA
